# Groundwater resource supply curves for all basins - 25% extraction scenario
# Based on global hydrogeological maps and cost extraction model
# Source: Yonkofski et al. (in review) Cost and accessibility of global non-renewable groundwater resources
# Units: price in 1975USD; available in km3
basin.id,price,available,grade
30,0.066,36.778928971,grade4
30,0.088,48.743964584000004,grade5
30,0.11,6.835827545000001,grade6
30,0.132,9.024734307000001,grade7
30,0.154,1.9599845130000002,grade8
30,0.176,0,grade9
30,0.198,5.034387397000001,grade10
30,0.22,4.4318059860000005,grade11
30,0.44,0,grade12
30,0.66,0,grade13
30,0.88,2.54583576,grade14
30,1.1,0.8038135470000001,grade15
30,1.32,0.115246764,grade16
30,1.54,0,grade17
30,1.76,0,grade18
30,1.98,0,grade19
30,2.2,0,grade20
30,4.4,0,grade21
30,6.6,0,grade22
30,8.8,0,grade23
30,20.9,0,grade24
31,0.002,8.838372323,grade1
31,0.022,354.865741576,grade2
31,0.044,150.91408672900002,grade3
31,0.066,9.918841491,grade4
31,0.088,1.462265208,grade5
31,0.11,0.07635518000000001,grade6
31,0.132,0,grade7
31,0.154,0,grade8
31,0.176,0,grade9
31,0.198,0,grade10
31,0.22,0,grade11
31,0.44,0,grade12
31,0.66,0,grade13
31,0.88,0,grade14
31,1.1,0,grade15
31,1.32,0,grade16
31,1.54,0,grade17
31,1.76,0,grade18
31,1.98,0,grade19
31,2.2,0,grade20
31,4.4,0,grade21
31,6.6,0,grade22
31,8.8,0,grade23
31,20.9,0,grade24
32,0.002,11.441589801000001,grade1
32,0.022,459.89623,grade2
32,0.044,297.472264,grade3
32,0.066,13.47240947,grade4
32,0.088,16.5627716,grade5
32,0.11,5.9349130500000005,grade6
32,0.132,5.047939,grade7
32,0.154,0.48892073,grade8
32,0.176,0,grade9
32,0.198,3.7643119,grade10
32,0.22,9.31154772,grade11
32,0.44,0.0337452768,grade12
32,0.66,0,grade13
32,0.88,0,grade14
32,1.1,0,grade15
32,1.32,0,grade16
32,1.54,0,grade17
32,1.76,0,grade18
32,1.98,0,grade19
32,2.2,0,grade20
32,4.4,0,grade21
32,6.6,0,grade22
32,8.8,0,grade23
32,20.9,0,grade24
33,0.002,38.189477433,grade1
33,0.022,145.615662961,grade2
33,0.044,0,grade3
33,0.066,0,grade4
33,0.088,0,grade5
33,0.11,0.104004805,grade6
33,0.132,3.92354048,grade7
33,0.154,0,grade8
33,0.176,0,grade9
33,0.198,0,grade10
33,0.22,0,grade11
33,0.44,1.488036775,grade12
33,0.66,0,grade13
33,0.88,0,grade14
33,1.1,0,grade15
33,1.32,0,grade16
33,1.54,0,grade17
33,1.76,0,grade18
33,1.98,0,grade19
33,2.2,0,grade20
33,4.4,0,grade21
33,6.6,0,grade22
33,8.8,0,grade23
33,20.9,0,grade24
34,0.002,0.24887160000000003,grade1
34,0.022,44.305242,grade2
34,0.044,26.583497100000002,grade3
34,0.066,0.87166941727,grade4
34,0.088,0,grade5
34,0.11,0,grade6
34,0.132,0,grade7
34,0.154,0,grade8
34,0.176,0,grade9
34,0.198,0,grade10
34,0.22,0,grade11
34,0.44,0,grade12
34,0.66,0,grade13
34,0.88,0,grade14
34,1.1,0,grade15
34,1.32,0,grade16
34,1.54,0,grade17
34,1.76,0,grade18
34,1.98,0,grade19
34,2.2,0,grade20
34,4.4,0,grade21
34,6.6,0,grade22
34,8.8,0,grade23
34,20.9,0,grade24
35,0.002,3.7222937020000004,grade1
35,0.022,70.786406238,grade2
35,0.044,83.791556904,grade3
35,0.066,37.364426519000006,grade4
35,0.088,24.521495693000002,grade5
35,0.11,32.250152952,grade6
35,0.132,6.8013518710000005,grade7
35,0.154,36.255885262,grade8
35,0.176,17.497680558000003,grade9
35,0.198,22.494533681,grade10
35,0.22,22.042404486000002,grade11
35,0.44,38.656388336,grade12
35,0.66,0,grade13
35,0.88,0,grade14
35,1.1,0,grade15
35,1.32,0,grade16
35,1.54,0,grade17
35,1.76,0,grade18
35,1.98,0,grade19
35,2.2,0,grade20
35,4.4,0,grade21
35,6.6,0,grade22
35,8.8,0,grade23
35,20.9,0,grade24
36,0.002,0,grade1
36,0.022,50.330466111,grade2
36,0.044,57.754349141000006,grade3
36,0.066,22.828328116,grade4
36,0.088,5.932795808000001,grade5
36,0.11,3.175702857,grade6
36,0.132,3.180761807,grade7
36,0.154,0,grade8
36,0.176,0,grade9
36,0.198,0,grade10
36,0.22,0.8017601400000001,grade11
36,0.44,0,grade12
36,0.66,0,grade13
36,0.88,0,grade14
36,1.1,0,grade15
36,1.32,0,grade16
36,1.54,0,grade17
36,1.76,0,grade18
36,1.98,0,grade19
36,2.2,0,grade20
36,4.4,0,grade21
36,6.6,0,grade22
36,8.8,0,grade23
36,20.9,0,grade24
37,0.002,42.27858599,grade1
37,0.022,195.02182116,grade2
37,0.044,55.125941498,grade3
37,0.066,36.239726278,grade4
37,0.088,36.607376275300005,grade5
37,0.11,5.219833124,grade6
37,0.132,5.193578503,grade7
37,0.154,0,grade8
37,0.176,0.22319001000000002,grade9
37,0.198,0.6133994700000001,grade10
37,0.22,3.3937201800000003,grade11
37,0.44,1.054776482,grade12
37,0.66,0,grade13
37,0.88,0,grade14
37,1.1,0,grade15
37,1.32,0,grade16
37,1.54,0,grade17
37,1.76,0,grade18
37,1.98,0,grade19
37,2.2,0,grade20
37,4.4,0,grade21
37,6.6,0,grade22
37,8.8,0,grade23
37,20.9,0,grade24
38,0.002,7.260935292,grade1
38,0.022,36.3548608511,grade2
38,0.044,83.715050038,grade3
38,0.066,100.67586043200001,grade4
38,0.088,82.98957921210001,grade5
38,0.11,85.30036433560001,grade6
38,0.132,64.759511659,grade7
38,0.154,42.886581657,grade8
38,0.176,23.588453432,grade9
